filename,category,caption
nm0004988_rm1989515776_1977-11-24_1999.jpg,Colin_Hanks,the person in the image has light skin and is wearing a white shirt . the background is blurred making it difficult to describe .
nm0004988_rm2829704704_1977-11-24_2003.jpg,Colin_Hanks,"the person in the image has short hair and is wearing a black shirt . background is blurred, making it difficult to describe ."
nm0004988_rm1731235328_1977-11-24_2000.jpg,Colin_Hanks,"the person in the image appears to be a young male with short hair . he has a surprise expression on his face, with his mouth open and eyes wide ."
nm0004988_rm3512706560_1977-11-24_2003.jpg,Colin_Hanks,"the person in the image has a fair complexion and is wearing a white shirt . the background is blurred, making it difficult to discern specific details ."
nm0004988_rm3825506816_1977-11-24_2005.jpg,Colin_Hanks,"the person in the image has a fair complexion and is wearing a dark-colored shirt . the background is blurred, making it difficult to discern specific details ."
nm0004988_rm2522584064_1977-11-24_2008.jpg,Colin_Hanks,the person in the image is a male with short hair and glasses . he has a neutral facial expression.
nm0004988_rm3143543808_1977-11-24_2012.jpg,Colin_Hanks,"the person in the image has a fair complexion and is wearing a white shirt . they have short, dark hair and are smiling ."
nm0004988_rm2228065280_1977-11-24_2008.jpg,Colin_Hanks,the person in the image is a male with short hair . he has a neutral facial expression .
nm0004988_rm93755904_1977-11-24_1999.jpg,Colin_Hanks,the person in the image appears to be a young male with short hair . he has a neutral expression on his face .
nm0004988_rm231184384_1977-11-24_2008.jpg,Colin_Hanks,"the person in the image has light skin and is wearing a white shirt . the background appears to be a dark, possibly indoor setting with a warm, reddish hue."
nm0004988_rm496343552_1977-11-24_1999.jpg,Colin_Hanks,"the person in the image has a neutral facial expression . they have short, dark hair and are wearing a dark-colored top ."
nm0771414_rm1174330624_1982-7-30_1999.jpg,Martin_Starr,the person in the image is wearing glasses and has a neutral facial expression . the person wearing glasses is wearing sunglasses and has an expression of neutrality .
nm0771414_rm2445657856_1982-7-30_2014.jpg,Martin_Starr,the person in the image is wearing glasses and has a surprise facial expression . the person wearing glasses is wearing a british eyewear .
nm0000678_rm2802562816_1954-6-19_2011.jpg,Kathleen_Turner,the person in the image appears to be a woman with green eyes and a broad smile .
nm0000678_rm841321984_1954-6-19_1991.jpg,Kathleen_Turner,the person in the image appears to be a woman with a neutral facial expression . she has short hair and is holding something close to her face .
nm0000678_rm2013895424_1954-6-19_2005.jpg,Kathleen_Turner,the person in the image appears to be a middle-aged woman with red hair . she has a neutral facial expression and is wearing makeup .
nm0000678_rm1484446208_1954-6-19_1986.jpg,Kathleen_Turner,the person in the image appears to be a woman with blonde hair and a fair complexion .
nm0000678_rm4080242176_1954-6-19_1985.jpg,Kathleen_Turner,"the person in the image has a fair complexion . the background is blurred, focusing attention on the individual ."
nm0001627_rm3543567872_1927-2-20_1988.jpg,Sidney_Poitier,the person in the image is a male with a serious expression . it features a prominent nose and intense eyes .
nm0001627_rm3305803264_1927-2-20_1990.jpg,Sidney_Poitier,"the person in the image is a man with a warm, friendly expression . he has a medium complexion and is wearing a suit, suggesting a formal setting ."
