row,original,cleaned,removed_sentences
22,"The individual in the image is a person with a medium skin tone and a smooth texture. The facial shape is oval, with a prominent and well-defined bone structure. The eyes are almond-shaped with a light color, possibly blue or green, and are set in a way that gives a piercing gaze. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of average size, adding to the balanced facial features. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache, and the hair is not visible in the image.  The person is wearing a dark-colored garment, possibly a shirt or jacket, which covers the upper part of the body. The background is blurred, focusing attention on the individual. The overall emotional expression is neutral, with a direct gaze that suggests confidence and poise.","The individual in the image is a person with a medium skin tone and a smooth texture. The facial shape is oval, with a prominent and well-defined bone structure. The eyes are almond-shaped with a light color, possibly blue or green, and are set in a way that gives a piercing gaze. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of average size, adding to the balanced facial features. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache, and the hair is not visible in the image. The person is wearing a dark-colored garment, possibly a shirt or jacket, which covers the upper part of the body. The background is blurred, focusing attention on the individual. The overall emotional expression is neutral, with a direct gaze that suggests confidence and poise.",[]
23,"The individual in the image appears to be a middle-aged person with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped with a light color, possibly blue or green. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of average size, complementing the overall balanced facial features. The mouth is closed, with a slight smile, revealing a set of teeth that appear to be in good condition. There is no visible facial hair, such as a beard or mustache.  The individual has short, dark hair that is neatly styled, with a side parting that adds a touch of sophistication. The hairline is receding slightly, indicating a natural aging process. There are no visible accessories, such as earrings, glasses, or piercings. The skin shows some signs of aging, such as fine lines and wrinkles, particularly around the eyes and forehead, which add character to the face. There are no scars, blemishes, or other unique facial features that stand out.  The person's overall emotional expression is calm and composed, with a gentle gaze that appears to be directed slightly to the left of the camera. The overall impression is one","The individual in the image appears to be a middle-aged person with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped with a light color, possibly blue or green. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of average size, complementing the overall balanced facial features. The mouth is closed, with a slight smile, revealing a set of teeth that appear to be in good condition. There is no visible facial hair, such as a beard or mustache. The individual has short, dark hair that is neatly styled, with a side parting that adds a touch of sophistication. The hairline is receding slightly, indicating a natural aging process. There are no visible accessories, such as earrings, glasses, or piercings. The skin shows some signs of aging, such as fine lines and wrinkles, particularly around the eyes and forehead, which add character to the face. There are no scars, blemishes, or other unique facial features that stand out. The person's overall emotional expression is calm and composed, with a gentle gaze that appears to be directed slightly to the left of the camera.",[]
28,"The individual in the image appears to be a middle-aged person with a fair skin tone and a smooth texture. The facial shape is oval, with a prominent and well-defined bone structure. The eyes are almond-shaped with a light color, possibly blue or green, and are set in a way that suggests a gentle expression. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, adding to the balanced look of the face. The mouth is closed, with a slight smile, revealing a set of teeth that appear to be in good condition. There is no visible facial hair, such as a beard or mustache, and the hairline is not visible in the image.  The individual has short, dark hair that is neatly styled, although the exact hairstyle is not clear due to the angle of the image. There are no visible accessories, such as earrings, glasses, or piercings. The skin shows some natural wrinkles, particularly around the eyes and forehead, indicating the person's age. There are no scars, blemishes, or other unique facial features visible in the image.  The person's overall emotional expression is calm and composed, with a gentle smile that suggests a friendly demeanor. The gaze is directed","The individual in the image appears to be a middle-aged person with a fair skin tone and a smooth texture. The facial shape is oval, with a prominent and well-defined bone structure. The eyes are almond-shaped with a light color, possibly blue or green, and are set in a way that suggests a gentle expression. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, adding to the balanced look of the face. The mouth is closed, with a slight smile, revealing a set of teeth that appear to be in good condition. There is no visible facial hair, such as a beard or mustache, and the hairline is not visible in the image. The individual has short, dark hair that is neatly styled, although the exact hairstyle is not clear due to the angle of the image. There are no visible accessories, such as earrings, glasses, or piercings. The skin shows some natural wrinkles, particularly around the eyes and forehead, indicating the person's age. There are no scars, blemishes, or other unique facial features visible in the image. The person's overall emotional expression is calm and composed, with a gentle smile that suggests a friendly demeanor.",[]
95,"The person in the image is a woman with fair skin and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light brown color, and she has a medium-thick eyebrow that arches gracefully above each eye. Her nose is straight and of average size, complementing her overall delicate facial features. Her mouth is closed in a neutral expression, showing a slight smile with white teeth. There is no visible facial hair, and her skin appears clear and well-groomed.  Her hair is light brown, styled in a sleek, straight manner that falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall expression is calm and composed. She is looking slightly to her left, with her eyes directed forward, giving a sense of focus and attentiveness.","The person in the image is a woman with fair skin and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light brown color, and she has a medium-thick eyebrow that arches gracefully above each eye. Her nose is straight and of average size, complementing her overall delicate facial features. Her mouth is closed in a neutral expression, showing a slight smile with white teeth. There is no visible facial hair, and her skin appears clear and well-groomed. Her hair is light brown, styled in a sleek, straight manner that falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall expression is calm and composed. She is looking slightly to her left, with her eyes directed forward, giving a sense of focus and attentiveness.",[]
96,"The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped with a light brown color, and they are expressive, giving her a warm and approachable appearance. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, adding to her refined look. Her mouth is closed in a gentle smile, showing her teeth slightly, which adds to her friendly demeanor. There is no visible facial hair, and her skin appears clear and well-maintained.  Her hair is a light brown color, styled in a sleek, straight manner that falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall expression is one of contentment and approachability. She is looking directly at the camera, with her eyes focused and engaging.","The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped with a light brown color, and they are expressive, giving her a warm and approachable appearance. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, adding to her refined look. Her mouth is closed in a gentle smile, showing her teeth slightly, which adds to her friendly demeanor. There is no visible facial hair, and her skin appears clear and well-maintained. Her hair is a light brown color, styled in a sleek, straight manner that falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall expression is one of contentment and approachability. She is looking directly at the camera, with her eyes focused and engaging.",[]
97,"The person in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that appears to be a shade of blue or green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and well-maintained.  Her hair is dark, possibly black or dark brown, and styled in loose curls that frame her face. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall emotional expression is neutral. She is looking slightly to the side, with her gaze directed towards something off-camera.","The person in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that appears to be a shade of blue or green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and well-maintained. Her hair is dark, possibly black or dark brown, and styled in loose curls that frame her face. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall emotional expression is neutral. She is looking slightly to the side, with her gaze directed towards something off-camera.",[]
98,"The person in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with well-defined bone structure. Her eyes are almond-shaped with a light brown hue, complemented by a subtle smoky eye makeup that enhances their shape. Her eyebrows are thick and arched, framing her eyes nicely. Her nose is straight and of average size, adding to her balanced facial features. Her mouth is closed, with a slight smile, showing a set of white teeth. There is no visible facial hair, and her skin appears clear and well-groomed.  Her hair is light brown, styled in loose waves that fall just past her shoulders. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of dangling earrings that catch the light, adding a touch of elegance to her appearance. There are no visible scars, blemishes, or wrinkles on her face, and her overall expression is calm and composed. She is looking slightly to her left, with her gaze directed forward, giving a sense of focus and poise.","The person in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with well-defined bone structure. Her eyes are almond-shaped with a light brown hue, complemented by a subtle smoky eye makeup that enhances their shape. Her eyebrows are thick and arched, framing her eyes nicely. Her nose is straight and of average size, adding to her balanced facial features. Her mouth is closed, with a slight smile, showing a set of white teeth. There is no visible facial hair, and her skin appears clear and well-groomed. Her hair is light brown, styled in loose waves that fall just past her shoulders. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of dangling earrings that catch the light, adding a touch of elegance to her appearance. There are no visible scars, blemishes, or wrinkles on her face, and her overall expression is calm and composed. She is looking slightly to her left, with her gaze directed forward, giving a sense of focus and poise.",[]
101,"The person in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped with a light brown hue, and they are expressive, giving her a warm and approachable appearance. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, adding to her refined look. Her mouth is closed, showing a slight smile, with visible teeth that are white and straight. There is no visible facial hair.  Her hair is dark brown, styled in a sleek, straight manner that falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall expression is calm and serene. She is looking slightly to her left, with her gaze directed forward, giving a sense of focus and contemplation.","The person in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped with a light brown hue, and they are expressive, giving her a warm and approachable appearance. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, adding to her refined look. Her mouth is closed, showing a slight smile, with visible teeth that are white and straight. There is no visible facial hair. Her hair is dark brown, styled in a sleek, straight manner that falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall expression is calm and serene. She is looking slightly to her left, with her gaze directed forward, giving a sense of focus and contemplation.",[]
102,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale shade. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is closed in a neutral expression, showing a slight smile with white teeth. There is no visible facial hair, and her skin appears clear and well-maintained.  Her hair is a rich, dark brown, styled in loose waves that fall just past her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall expression is calm and composed. She is looking directly at the camera, with her eyes focused and her gaze steady.","The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale shade. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is closed in a neutral expression, showing a slight smile with white teeth. There is no visible facial hair, and her skin appears clear and well-maintained. Her hair is a rich, dark brown, styled in loose waves that fall just past her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall expression is calm and composed. She is looking directly at the camera, with her eyes focused and her gaze steady.",[]
104,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped with a light color, possibly blue or green, and they are accentuated with subtle makeup. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall delicate facial features. Her mouth is closed, with a slight smile, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is dark, possibly black or dark brown, and it is styled in loose curls that frame her face. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall expression is calm and serene. She is looking slightly to her right, with her gaze directed forward, giving a sense of contemplation or focus.","The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped with a light color, possibly blue or green, and they are accentuated with subtle makeup. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall delicate facial features. Her mouth is closed, with a slight smile, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is dark, possibly black or dark brown, and it is styled in loose curls that frame her face. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall expression is calm and serene. She is looking slightly to her right, with her gaze directed forward, giving a sense of contemplation or focus.",[]
