filename,category,description
nm0004988_rm567135744_1977-11-24_2014.jpg,Colin_Hanks,The person in the image has a bald head and is wearing a green shirt. They appear to be looking to the side with a neutral expression.
nm0004988_rm3102927360_1977-11-24_2015.jpg,Colin_Hanks,"The person in the image has a neutral facial expression, with a slight smile, and appears to be male. He has short hair and is wearing glasses."
nm0004988_rm2562097664_1977-11-24_2010.jpg,Colin_Hanks,"The person in the image has a neutral facial expression, with a slight frown, and is wearing a white shirt."
nm0004988_rm110533120_1977-11-24_1999.jpg,Colin_Hanks,"The person in the image has short, light-colored hair and is wearing a dark-colored shirt. They appear to be in a neutral or slightly serious expression."
nm0004988_rm3221859328_1977-11-24_2012.jpg,Colin_Hanks,"The person in the image has a neutral facial expression, with a slight frown, and is wearing glasses. They have short, dark hair and are wearing a white shirt."
nm0004988_rm2978581248_1977-11-24_2008.jpg,Colin_Hanks,"The person in the image has a neutral facial expression, with a slight frown, and is of unknown gender. They have dark hair and are wearing a black shirt."
nm0004988_rm1939184128_1977-11-24_1999.jpg,Colin_Hanks,"The person in the image has a neutral facial expression, with a slight hint of a smile. They have short, light-colored hair and are wearing a white shirt."
nm0004988_rm1784868864_1977-11-24_2015.jpg,Colin_Hanks,"The person in the image has short, light-colored hair and is wearing a white shirt. They are smiling and appear to be in a cheerful mood."
nm0004988_rm1106742016_1977-11-24_2008.jpg,Colin_Hanks,The person in the image has short hair and is wearing glasses. They are looking directly at the camera with a neutral expression.
nm0004988_rm2638185216_1977-11-24_2010.jpg,Colin_Hanks,"The person in the image has a neutral facial expression, with a slight hint of a smile, and is wearing a red shirt."
nm0004988_rm2340738560_1977-11-24_2014.jpg,Colin_Hanks,"The person in the image has a serious expression, with a neutral mouth and focused eyes. They appear to be male, with short hair and a clean-shaven face."
nm0004988_rm657915648_1977-11-24_2015.jpg,Colin_Hanks,"The person in the image has a neutral facial expression, with a slight frown, and is of unknown gender. They have short hair and a light complexion."
nm0771414_rm3625571840_1982-7-30_2014.jpg,Martin_Starr,"The person in the image has a beard and is wearing glasses, with a neutral facial expression."
nm0000678_rm3159726080_1954-6-19_1995.jpg,Kathleen_Turner,"The person in the image has a fair complexion and is wearing a dark-colored top. They have short, light-colored hair styled in a bob cut. The individual is smiling, showing their teeth, and has a friendly expression."
nm0000678_rm1135066880_1954-6-19_2011.jpg,Kathleen_Turner,"The person in the image has a neutral facial expression, with a slight smile, and is wearing makeup."
nm0000678_rm2487007744_1954-6-19_2007.jpg,Kathleen_Turner,"The person in the image has a joyful expression, with a wide smile and bright eyes, and is wearing red lipstick."
nm0000678_rm4105345792_1954-6-19_2004.jpg,Kathleen_Turner,"The person in the image has a joyful expression, with a wide smile and bright eyes, and appears to be female with distinctive facial features."
nm0001627_rm1557109504_1927-2-20_2007.jpg,Sidney_Poitier,"The person in the image is an older individual with a neutral facial expression, wearing glasses, and has a distinctive hairstyle."
nm0001627_rm3392572928_1927-2-20_1988.jpg,Sidney_Poitier,"The person in the image has a serious expression, with a focused gaze and a slight frown, and appears to be male with distinctive facial features."
nm2394794_rm2218768896_1987-11-28_2005.jpg,Karen_Gillan,"The person in the image has a neutral facial expression, with a fair complexion and green eyes. They appear to be female, and there are no distinctive features that stand out prominently."
nm2394794_rm2024057600_1987-11-28_2005.jpg,Karen_Gillan,The person in the image has red hair and is wearing a purple top. They are smiling and have a neutral facial expression.
nm2394794_rm95666944_1987-11-28_2014.jpg,Karen_Gillan,"The person in the image has a neutral facial expression, with a light complexion and dark hair. They are wearing a blue top and have a slight smile."
nm2394794_rm3784498176_1987-11-28_2013.jpg,Karen_Gillan,"The person in the image has long, reddish-brown hair and is wearing a black hat. They are looking directly at the camera with a neutral expression."
nm0893257_rm3708062208_1977-7-8_2009.jpg,Milo_Ventimiglia,"The person in the image has a neutral facial expression, with a slight hint of a smile, and is wearing a black hat. They have short, dark hair and a light beard."
